"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-65.3125","-26.6956005096436","1175","21.767","15.329","28.4073894","1.6346681491084","0.932331925233557","20.08456776",
"1/2/1979","-65.3125","-26.6956005096436","1175","24.45","16.662","35.1339336","2.68900335243658","0.912521006360457","29.72451978",
"1/3/1979","-65.3125","-26.6956005096436","1175","21.321","15.86","44.904903804","3.15576090663283","0.944167226828938","17.1315567",
"1/4/1979","-65.3125","-26.6956005096436","1175","23.662","15.458","26.257326048","2.0300422732739","0.916834466604825","19.1958759",
"1/5/1979","-65.3125","-26.6956005096436","1175","24.756","15.351","17.33522112","2.36919848657272","0.863630003715434","18.9807165",
"1/6/1979","-65.3125","-26.6956005096436","1175","20.199","15.78","24.856559388","2.05034538014175","0.915895050570374","5.30521596",
"1/7/1979","-65.3125","-26.6956005096436","1175","22.902","14.724","16.706092896","2.02261299284456","0.886320684507087","28.19947482",
"1/8/1979","-65.3125","-26.6956005096436","1175","22.3","13.308","19.8577838304","1.91434427282121","0.900093335946749","24.99654528",
"1/9/1979","-65.3125","-26.6956005096436","1175","21.957","15.354","23.471260668","1.83064682388718","0.919174122389796","18.09129348",
"1/10/1979","-65.3125","-26.6956005096436","1175","26.166","15.96","6.339454128","2.07451562870373","0.820414674077653","29.6107857",
"1/11/1979","-65.3125","-26.6956005096436","1175","26.699","17.173","19.241521812","3.1757070903412","0.809565081022833","28.30594968",
"1/12/1979","-65.3125","-26.6956005096436","1175","25.124","16.93","29.70686016","2.79489202612881","0.891293134544145","30.71880018",
"1/13/1979","-65.3125","-26.6956005096436","1175","27.412","15.569","15.847778556","2.72717295648065","0.85407350443366","30.07665144",
"1/14/1979","-65.3125","-26.6956005096436","1175","21.765","16.911","35.417160612","2.33710438260247","0.927708569830777","15.24813678",
"1/15/1979","-65.3125","-26.6956005096436","1175","22.204","16.88","59.81709204","1.61903358976703","0.94460813477168","11.0616228",
"1/16/1979","-65.3125","-26.6956005096436","1175","28.731","15.603","6.054498","2.92395942734553","0.746245923286442","27.28597662",
"1/17/1979","-65.3125","-26.6956005096436","1175","29.928","16.69","4.01858982","3.42845806877915","0.56227604432498","27.8978085",
"1/18/1979","-65.3125","-26.6956005096436","1175","22.886","16.181","24.651429984","2.85031615119976","0.861705083997622","22.60282086",
"1/19/1979","-65.3125","-26.6956005096436","1175","23.071","14.675","4.7842077024","1.69022783792724","0.819034480956395","17.376695892",
"1/20/1979","-65.3125","-26.6956005096436","1175","25.608","12.871","9.8945622","2.14468209759393","0.829933646645525","26.28574434",
"1/21/1979","-65.3125","-26.6956005096436","1175","26.732","14.53","7.13596518","2.22236012762546","0.804298890557631","22.66565688",
"1/22/1979","-65.3125","-26.6956005096436","1175","28.048","15.85","15.888976704","2.73980899241158","0.790921864523367","29.63475144",
"1/23/1979","-65.3125","-26.6956005096436","1175","24.858","16.843","16.790197644","2.80941526955735","0.875405306230214","29.97219132",
"1/24/1979","-65.3125","-26.6956005096436","1175","29.654","17.762","21.746907216","2.8543798568267","0.81625942638111","26.91382878",
"1/25/1979","-65.3125","-26.6956005096436","1175","22.294","19.095","121.3320168","1.52325830647119","0.960967879434903","12.950885268",
"1/26/1979","-65.3125","-26.6956005096436","1175","25.614","18.467","50.5148013","2.89706030004001","0.912705088007296","21.573844632",
"1/27/1979","-65.3125","-26.6956005096436","1175","26.942","15.855","9.4465278","4.40140397210071","0.83792167315478","20.65218534",
"1/28/1979","-65.3125","-26.6956005096436","1175","22.667","14.813","0.3965379984","2.99983587901041","0.765267008591797","23.35837536",
"1/29/1979","-65.3125","-26.6956005096436","1175","23.268","12.621","9.7881339744","1.65597262293699","0.881818060516405","21.341693592",
"1/30/1979","-65.3125","-26.6956005096436","1175","23.549","12.024","10.94598864","1.85804650114783","0.845329950105778","31.4645598",
"1/31/1979","-65.3125","-26.6956005096436","1175","23.421","15.957","31.686960852","1.72169758213516","0.879309787545198","9.66015072",
"2/1/1979","-65.3125","-26.6956005096436","1175","24.998","15.54","15.7585152528","2.79422633053289","0.812004168673857","18.145009368",
"2/2/1979","-65.3125","-26.6956005096436","1175","24.212","13.723","8.4405899664","2.05534324552517","0.830023589691953","28.0654254",
"2/3/1979","-65.3125","-26.6956005096436","1175","26.858","14.912","11.073875112","2.25169199374933","0.812649412191217","30.81161592",
"2/4/1979","-65.3125","-26.6956005096436","1175","25.542","16.1","26.295080184","2.27115900926183","0.880464319029801","27.8472942",
"2/5/1979","-65.3125","-26.6956005096436","1175","26.636","15.137","12.34588212","3.51878771785115","0.726741015409975","30.15010296",
"2/6/1979","-65.3125","-26.6956005096436","1175","22.978","15.023","4.749010704","1.72735450921763","0.831961827464773","22.617226008",
"2/7/1979","-65.3125","-26.6956005096436","1175","22.68","15.96","18.97544772","2.19496164638338","0.883563733846891","27.56283624",
"2/8/1979","-65.3125","-26.6956005096436","1175","18.616","15.33","8.20026324","2.42289231790891","0.95457916933984","5.767593408",
"2/9/1979","-65.3125","-26.6956005096436","1175","24.94","14.169","4.260207276","1.83769580538157","0.873689459481877","20.508412752",
"2/10/1979","-65.3125","-26.6956005096436","1175","23.794","17.738","32.0002632","1.72030838396953","0.93700931667559","20.45424042",
"2/11/1979","-65.3125","-26.6956005096436","1175","22.889","17.165","15.11650476","2.4411827733633","0.901704645381522","15.178551732",
"2/12/1979","-65.3125","-26.6956005096436","1175","26.707","16.207","0.750161052","3.37578639717325","0.720902667034717","31.19624946",
"2/13/1979","-65.3125","-26.6956005096436","1175","25.257","14.971","14.838407172","2.07829526325168","0.849633373625854","27.63247356",
"2/14/1979","-65.3125","-26.6956005096436","1175","23.842","16.834","25.17585948","2.17508766911672","0.919184668918095","19.56357936",
"2/15/1979","-65.3125","-26.6956005096436","1175","23.764","13.428","8.8834778208","4.83382262470518","0.804911108814876","15.830430048",
